difficulty_rating, bpm, mode, approach_rate, overall_difficulty, circle_size, hp_drain_rate, total_length, hit_length, min_cursor_speed, max_cursor_speed, avg_cursor_speed, map_length_seconds, hitobject_types_per_second_0, 1, 2, 3, 4, 5, 6, 7, inherited_timing_points, uninherited_timing_points, bpm_changes, slider_multiplier_changes, min_slider_multiplier, max_slider_multiplier, avg_slider_multiplier, meter_changes, min_meter, max_meter, avg_meter
4.57, 100, 0, 8.8, 6, 5, 5, 223, 223, 0.0, 2603.4165586355516, 423.9338311296636, 223.647, 0.0, 0.8719097506338114, 1.5113102344319396, 0.0, 0.0, 0.3577065643625893, 0.6394004837981283, 0.0, 1.1759603303420123, 0.013413996163597097, 0.0, 1.1714889982874799, 0.2, 2.399999999999998, 1.4000000000000001, 0.008942664109064732, 4, 6, 4.666666666666667
4.91, 117, 0, 4, 6, 6, 7, 197, 177, 0.0, 1172.059102318165, 217.75982569964827, 197.436, 0.0, 1.2358435138475252, 0.13168824327883466, 0.0, 0.0, 0.06584412163941733, 0.04051945947041066, 0.0, 0.0, 0.005064932433801333, 0.0, 0.0, None, None, 0, 0.0, 4, 4, 4.0
1, 75, 0, 3, 2, 2, 1, 79, 79, 29.154759474226502, 598.733037338011, 256.96096165214266, 79.328, 0.0, 0.26472367890278337, 1.0588947156111335, 0.0, 0.0, 0.23951189995966116, 0.18908834207341668, 0.0, 0.7059298104074223, 0.025211778943122227, 0.0, 0.6933239209358613, 0.4, 2.0, 1.2071428571428575, 0.0, 4, 4, 4.0
1.65, 75, 0, 5, 3, 3, 3, 79, 79, 29.154759474226502, 598.733037338011, 256.96096165214266, 79.328, 0.0, 0.26472367890278337, 1.0588947156111335, 0.0, 0.0, 0.23951189995966116, 0.18908834207341668, 0.0, 0.7059298104074223, 0.025211778943122227, 0.0, 0.6933239209358613, 0.4, 2.0, 1.2071428571428575, 0.0, 4, 4, 4.0
2.17, 75, 0, 7, 4, 4, 4, 79, 79, 29.154759474226502, 598.733037338011, 256.96096165214266, 79.328, 0.0, 0.26472367890278337, 1.0588947156111335, 0.0, 0.0, 0.23951189995966116, 0.18908834207341668, 0.0, 0.7059298104074223, 0.025211778943122227, 0.0, 0.6933239209358613, 0.4, 2.0, 1.2071428571428575, 0.0, 4, 4, 4.0
5.87, 84, 3, 5, 8.7, 4, 8.5, 221, 198, 0.0, 12387.09677419355, 4128.173706505637, 232.592, 0.0, 15.116599023182223, 0.0, 0.0, 0.0, 0.004299374011143977, 0.0, 0.0, 0.0, 0.004299374011143977, 0.0, 0.0, None, None, 0, 0.0, 4, 4, 4.0
6.36, 92, 3, 5, 8.7, 4, 8.5, 202, 181, 0.0, 12387.09677419355, 4128.173706505637, 232.592, 0.0, 15.116599023182223, 0.0, 0.0, 0.0, 0.004299374011143977, 0.0, 0.0, 0.0, 0.004299374011143977, 0.0, 0.0, None, None, 0, 0.0, 4, 4, 4.0
6.12, 88, 3, 5, 8.7, 4, 8.5, 211, 189, 0.0, 12387.09677419355, 4128.173706505637, 232.592, 0.0, 15.116599023182223, 0.0, 0.0, 0.0, 0.004299374011143977, 0.0, 0.0, 0.0, 0.004299374011143977, 0.0, 0.0, None, None, 0, 0.0, 4, 4, 4.0
6.61, 96, 3, 5, 8.7, 4, 8.5, 193, 173, 0.0, 12387.09677419355, 4128.173706505637, 232.592, 0.0, 15.116599023182223, 0.0, 0.0, 0.0, 0.004299374011143977, 0.0, 0.0, 0.0, 0.004299374011143977, 0.0, 0.0, None, None, 0, 0.0, 4, 4, 4.0
5.61, 80, 3, 5, 8.7, 4, 8.5, 232, 208, 0.0, 12387.09677419355, 4128.173706505637, 232.592, 0.0, 15.116599023182223, 0.0, 0.0, 0.0, 0.004299374011143977, 0.0, 0.0, 0.0, 0.004299374011143977, 0.0, 0.0, None, None, 0, 0.0, 4, 4, 4.0
5.31, 167, 0, 9, 8, 4, 6, 105, 56, 0.0, 2577.777777777778, 882.183634455126, 103.216, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6975662687955356, 0.6781894279956596, 0.0, 0.07750736319950395, 0.009688420399937994, 0.0, 0.06781894279956596, 0.1, 3.000000000000003, 2.2000000000000006, 0.0, 4, 4, 4.0
6.08, 192, 0, 9.3, 9.3, 4, 6, 105, 104, 0.0, 2038.465351057995, 657.2944348560724, 104.403, 0.0, 2.6340239265155216, 1.2355966782563719, 0.0, 0.0, 0.9099355382508165, 0.45017863471356184, 0.0, 0.5268047853031043, 0.009578268823692806, 0.0, 0.392709021771405, 0.5, 1.5699999999999992, 1.1561818181818184, 0.0, 4, 4, 4.0
1.5, 197, 0, 5, 5, 5, 5, 75, 42, 7.782732063234698, 879.9955230866283, 125.02968943640288, 72.143, 0.0, 0.30494989118833427, 0.013861358690378831, 0.0, 0.0, 0.013861358690378831, 0.0, 0.0, 0.0, 0.013861358690378831, 0.0, 0.0, None, None, 0, 0.0, 4, 4, 4.0
5.43, 130, 0, 9, 8, 4.5, 6, 291, 276, 26.773413153361428, 1645.1107604014564, 592.0256212675564, 291.441, 0.0, 1.4445462374888915, 1.1494607827999492, 0.0, 0.0, 0.7171262794184758, 0.9916243768035383, 0.0, 0.3362601692967016, 0.0034312262173132814, 0.0, 0.3328289430793883, 0.2, 2.5999999999999974, 1.48469387755102, 0.0, 4, 4, 4.0
4.78, 172, 0, 9, 7, 4, 3, 180, 169, 0.0, 1683.6790331013776, 460.332927455579, 179.961, 0.0, 1.3725196014692072, 0.9557626374603385, 0.0, 0.0, 0.2611676974455576, 0.3278488116869766, 0.0, 0.02778379760059124, 0.033340557120709484, 0.0, 0.005556759520118248, 0.45000000000000046, 0.5, 0.4900000000000001, 0.0, 4, 4, 4.0
7.2, 173, 0, 9.5, 9, 4, 5, 70, 21, 0.0, 2942.528735632184, 1244.1623922703268, 70.482, 0.0, 0.34051247126926026, 0.6810249425385205, 0.0, 0.0, 0.07094009818109588, 0.45401662835901363, 0.0, 0.5958968247212054, 0.014188019636219176, 0.0, 0.14188019636219176, 1.4999999999999993, 5.9999999999999885, 1.921190476190476, 0.0, 4, 4, 4.0
